num_sites total_time
10 0.00313823
10 0.00227082
10 0.0022723
10 0.00231375
10 0.00205354
50 0.00432962
50 0.00456504
50 0.00406588
50 0.00520044
50 0.00427311
100 0.049934
100 0.0526091
100 0.0428021
100 0.0509277
100 0.0462833
200 0.601952
200 0.604123
200 0.6116
200 0.629456
200 0.603486
350 5.33139
350 5.24951
350 5.33539
350 5.25978
350 5.24658
500 22.312
500 21.8155
500 21.7871
500 21.6911
500 21.5906
650 62.8216
650 63.7036
650 64.7895
650 64.7478
650 64.4776
800 154.578
800 152.971
800 154.847
800 152.489
800 153.466
1000 386.382
1000 384.265
1000 387.104
1000 384.394
1000 386.679
