num_rows1 num_rowscols12 num_cols2 num_procs avg_time total_time
10 10 10 3 0.0000026235 0.0000490020
10 10 10 3 0.0000027215 0.0000353660
10 10 10 3 0.0000026605 0.0000203490
10 10 10 3 0.0000028965 0.0000258780
10 10 10 3 0.0000026645 0.0000262900
10 10 10 4 0.0000017797 0.0000318800
10 10 10 4 0.0000018500 0.0000210390
10 10 10 4 0.0000018203 0.0000243960
10 10 10 4 0.0000020363 0.0000259690
10 10 10 4 0.0000018873 0.0001492500
10 10 10 5 0.0000014110 0.0000326310
10 10 10 5 0.0000014108 0.0000569170
10 10 10 5 0.0000012802 0.0000326310
10 10 10 5 0.0000014085 0.0000258180
10 10 10 5 0.0000014125 0.0000318000
10 10 10 6 0.0000012656 0.0000358470
10 10 10 6 0.0000014910 0.0000594610
10 10 10 6 0.0000011826 0.0000271710
10 10 10 6 0.0000011536 0.0000913310
10 10 10 6 0.0000011162 0.0000362980
10 10 10 7 0.0000010570 0.0001314460
10 10 10 7 0.0000011272 0.0000583190
10 10 10 7 0.0000010270 0.0000503350
10 10 10 7 0.0000009765 0.0001702090
10 10 10 7 0.0000010132 0.0001801070
10 10 10 8 0.0000008504 0.0003388650
10 10 10 8 0.0000008819 0.0000564960
10 10 10 8 0.0000008731 0.0000608040
10 10 10 8 0.0000009087 0.0001095550
10 10 10 8 0.0000009013 0.0003149800
50 50 50 3 0.0002150245 0.0003905410
50 50 50 3 0.0001862215 0.0003026270
50 50 50 3 0.0001992875 0.0003431830
50 50 50 3 0.0001993630 0.0003240670
50 50 50 3 0.0002103885 0.0005207250
50 50 50 4 0.0001359867 0.0002290990
50 50 50 4 0.0001344467 0.0002205330
50 50 50 4 0.0001266680 0.0002083500
50 50 50 4 0.0001415073 0.0002305920
50 50 50 4 0.0001363603 0.0002389170
50 50 50 5 0.0001022242 0.0002196710
50 50 50 5 0.0001322788 0.0002475130
50 50 50 5 0.0000991507 0.0002818140
50 50 50 5 0.0001030110 0.0002573020
50 50 50 5 0.0001026597 0.0001953350
50 50 50 6 0.0000793510 0.0002102140
50 50 50 6 0.0000895160 0.0002889210
50 50 50 6 0.0000814926 0.0001574650
50 50 50 6 0.0000807172 0.0001389810
50 50 50 6 0.0001280400 0.0002784610
50 50 50 7 0.0000727190 0.0001733240
50 50 50 7 0.0000774330 0.0004450290
50 50 50 7 0.0000723228 0.0003336640
50 50 50 7 0.0001044810 0.0009058460
50 50 50 7 0.0000773265 0.0002140910
50 50 50 8 0.0000726191 0.0002120370
50 50 50 8 0.0000602920 0.0001576450
50 50 50 8 0.0000673129 0.0065100980
50 50 50 8 0.0001068563 0.0109885770
50 50 50 8 0.0000619713 0.0001955460
100 100 100 3 0.0014722375 0.0017679900
100 100 100 3 0.0015258965 0.0019182210
100 100 100 3 0.0017518680 0.0021173640
100 100 100 3 0.0015147375 0.0021490430
100 100 100 3 0.0016646465 0.0019951760
100 100 100 4 0.0010223947 0.0012496790
100 100 100 4 0.0011303317 0.0013535240
100 100 100 4 0.0010518980 0.0012756050
100 100 100 4 0.0010292257 0.0012383690
100 100 100 4 0.0009902593 0.0011750600
100 100 100 5 0.0007428812 0.0010451770
100 100 100 5 0.0007817630 0.0009436870
100 100 100 5 0.0007703347 0.0009438370
100 100 100 5 0.0007339590 0.0009290690
100 100 100 5 0.0007147565 0.0008679040
100 100 100 6 0.0006770370 0.0022568150
100 100 100 6 0.0005906504 0.0007608950
100 100 100 6 0.0005937828 0.0007203580
100 100 100 6 0.0005988262 0.0007366090
100 100 100 6 0.0006048186 0.0007535010
100 100 100 7 0.0005071507 0.0007251580
100 100 100 7 0.0005100805 0.0006787100
100 100 100 7 0.0005198087 0.0009003560
100 100 100 7 0.0005276937 0.0008095660
100 100 100 7 0.0005341475 0.0007844690
100 100 100 8 0.0004444451 0.0007307480
100 100 100 8 0.0004526383 0.0005655390
100 100 100 8 0.0004575734 0.0007421290
100 100 100 8 0.0004444500 0.0005673420
100 100 100 8 0.0004569327 0.0006296090
250 250 250 3 0.0243812650 0.0259622150
250 250 250 3 0.0244815690 0.0262824540
250 250 250 3 0.0228091475 0.0244033060
250 250 250 3 0.0233698320 0.0249908560
250 250 250 3 0.0235255410 0.0262075440
250 250 250 4 0.0153000553 0.0163201440
250 250 250 4 0.0155373753 0.0167596860
250 250 250 4 0.0168610360 0.0265068650
250 250 250 4 0.0159266767 0.0170280090
250 250 250 4 0.0155104537 0.0169916510
250 250 250 5 0.0121728790 0.0136425810
250 250 250 5 0.0123663165 0.0134742760
250 250 250 5 0.0122501628 0.0134555560
250 250 250 5 0.0126928430 0.0149480250
250 250 250 5 0.0126941510 0.0139679900
250 250 250 6 0.0108103376 0.0117599960
250 250 250 6 0.0095614910 0.0103740910
250 250 250 6 0.0099940320 0.0106894020
250 250 250 6 0.0100127658 0.0113973380
250 250 250 6 0.0097782462 0.0105715220
250 250 250 7 0.0083272538 0.0090123730
250 250 250 7 0.0084703472 0.0094715420
250 250 250 7 0.0086706687 0.0119707510
250 250 250 7 0.0087440312 0.0094192640
250 250 250 7 0.0084710237 0.0094001760
250 250 250 8 0.0074056559 0.0079877950
250 250 250 8 0.0069037570 0.0078259710
250 250 250 8 0.0079310267 0.0167803100
250 250 250 8 0.0076957493 0.0085232460
250 250 250 8 0.0072733074 0.0081436870
500 500 500 3 0.1978161255 0.2045778610
500 500 500 3 0.1905336340 0.1968968900
500 500 500 3 0.2013401995 0.2082219230
500 500 500 3 0.2003080475 0.2065046670
500 500 500 3 0.1929312540 0.2075102350
500 500 500 4 0.1308251970 0.1355680470
500 500 500 4 0.1371665987 0.1418100650
500 500 500 4 0.1306054477 0.1345574820
500 500 500 4 0.1369407657 0.1415625650
500 500 500 4 0.1355515110 0.1397539310
500 500 500 5 0.1020491495 0.1055659350
500 500 500 5 0.1021848407 0.1057147640
500 500 500 5 0.1088913965 0.1128259070
500 500 500 5 0.1043167038 0.1079069730
500 500 500 5 0.1050858990 0.1093274070
500 500 500 6 0.0901972894 0.0933435160
500 500 500 6 0.0833444966 0.0861199100
500 500 500 6 0.0843978028 0.0872519790
500 500 500 6 0.0821170246 0.0851527090
500 500 500 6 0.0804944712 0.0834473670
500 500 500 7 0.0696635853 0.0725860930
500 500 500 7 0.0683848583 0.0713916060
500 500 500 7 0.0715941980 0.0748321830
500 500 500 7 0.0699643225 0.0729556640
500 500 500 7 0.0736219892 0.0768140880
500 500 500 8 0.0619774359 0.0649341880
500 500 500 8 0.0614916179 0.0655153450
500 500 500 8 0.0645559603 0.0670855790
500 500 500 8 0.0613361740 0.0640679850
500 500 500 8 0.0615599719 0.0646061080
1000 1000 1000 3 1.9742845200 2.0140756790
1000 1000 1000 3 1.8875380850 1.9247175870
1000 1000 1000 3 1.9939288550 2.0322185010
1000 1000 1000 3 1.9082141750 1.9451908620
1000 1000 1000 3 1.8782969755 1.9138666880
1000 1000 1000 4 1.3747636067 1.4023190740
1000 1000 1000 4 1.3009021167 1.3260543340
1000 1000 1000 4 1.3544452590 1.3813855630
1000 1000 1000 4 1.3484453647 1.3744043230
1000 1000 1000 4 1.2893427253 1.3148120320
1000 1000 1000 5 0.9981938980 1.0166853680
1000 1000 1000 5 0.9914266075 1.0100745630
1000 1000 1000 5 1.0072235255 1.0263325750
1000 1000 1000 5 0.9948386102 1.0140591470
1000 1000 1000 5 1.0073466797 1.0277081150
1000 1000 1000 6 0.8323093328 0.8498207030
1000 1000 1000 6 0.8201266806 0.8360404670
1000 1000 1000 6 0.8213650088 0.8378949120
1000 1000 1000 6 0.8236519870 0.8394689830
1000 1000 1000 6 0.8144500196 0.8330377340
1000 1000 1000 7 0.7248135692 0.7405887850
1000 1000 1000 7 0.7020081682 0.7154393910
1000 1000 1000 7 0.6994983402 0.7129543490
1000 1000 1000 7 0.6977744918 0.7114568850
1000 1000 1000 7 0.7037624015 0.7177636320
1000 1000 1000 8 0.6122548590 0.6243003140
1000 1000 1000 8 0.6210059524 0.6347356470
1000 1000 1000 8 0.6219100617 0.6344814360
1000 1000 1000 8 0.6084761789 0.6212245880
1000 1000 1000 8 0.6083882621 0.6213040750
2000 2000 2000 3 19.6948253555 19.8642874200
2000 2000 2000 3 19.9110948090 20.0874055870
2000 2000 2000 3 19.5399165350 19.7107476320
2000 2000 2000 3 19.4950583985 19.6662955860
2000 2000 2000 3 19.9705434540 20.1378532650
2000 2000 2000 4 14.1917913387 14.3118129040
2000 2000 2000 4 14.1986492533 14.3175803460
2000 2000 2000 4 14.2725643797 14.3912326000
2000 2000 2000 4 14.2377344713 14.3608598720
2000 2000 2000 4 14.2360177860 14.3572897980
2000 2000 2000 5 11.1730790002 11.2712036730
2000 2000 2000 5 11.4953099115 11.5943085090
2000 2000 2000 5 11.2319687623 11.3252945050
2000 2000 2000 5 11.2749093915 11.3690136190
2000 2000 2000 5 11.0848972722 11.1839851920
2000 2000 2000 6 9.2523963756 9.3274982180
2000 2000 2000 6 9.6025496040 9.6830217120
2000 2000 2000 6 9.7107941596 9.7979872240
