num_rows1 num_rowscols12 num_cols2 num_procs avg_time total_time
10 10 10 3 0.0000070530 0.0000269500
10 10 10 3 0.0000084085 0.0000371900
10 10 10 3 0.0000077985 0.0001833930
10 10 10 3 0.0000073935 0.0000310080
10 10 10 3 0.0000059210 0.0000346040
10 10 10 4 0.0000058053 0.0000307780
10 10 10 4 0.0000066383 0.0000300960
10 10 10 4 0.0000073130 0.0002105240
10 10 10 4 0.0000059843 0.0000440120
10 10 10 4 0.0000061170 0.0000303770
10 10 10 5 0.0000056975 0.0000294460
10 10 10 5 0.0000052585 0.0000405260
10 10 10 5 0.0000055895 0.0000309880
10 10 10 5 0.0000054705 0.0000574880
10 10 10 5 0.0000065225 0.0000385820
10 10 10 6 0.0000044608 0.0000265190
10 10 10 6 0.0000060394 0.0001661010
10 10 10 6 0.0000056658 0.0000341240
10 10 10 6 0.0000060734 0.0000694600
10 10 10 6 0.0000048670 0.0000284030
10 10 10 7 0.0000088830 0.0002600870
10 10 10 7 0.0000065973 0.0002116160
10 10 10 7 0.0000051470 0.0000665950
10 10 10 7 0.0000060378 0.0000755410
10 10 10 7 0.0000056093 0.0001305420
10 10 10 8 0.0000045131 0.0000752910
10 10 10 8 0.0000052284 0.0001835640
10 10 10 8 0.0000047864 0.0001036340
10 10 10 8 0.0000050097 0.0001730340
10 10 10 8 0.0000055031 0.0001603600
50 50 50 3 0.0001468305 0.0002545260
50 50 50 3 0.0001608900 0.0003225240
50 50 50 3 0.0002336185 0.0003452170
50 50 50 3 0.0001466185 0.0002770090
50 50 50 3 0.0001385530 0.0002579930
50 50 50 4 0.0000875267 0.0001663720
50 50 50 4 0.0000900213 0.0001625540
50 50 50 4 0.0000815177 0.0001997140
50 50 50 4 0.0000968000 0.0001793850
50 50 50 4 0.0001074920 0.0001920390
50 50 50 5 0.0000848155 0.0001976800
50 50 50 5 0.0000802130 0.0001880620
50 50 50 5 0.0000743732 0.0001463540
50 50 50 5 0.0000883407 0.0002129890
50 50 50 5 0.0000756317 0.0001581260
50 50 50 6 0.0000605092 0.0001689560
50 50 50 6 0.0000616444 0.0001346220
50 50 50 6 0.0000731876 0.0001561620
50 50 50 6 0.0000991520 0.0003761110
50 50 50 6 0.0000864102 0.0002047340
50 50 50 7 0.0000595037 0.0001808580
50 50 50 7 0.0000541280 0.0003977690
50 50 50 7 0.0000598920 0.0002523620
50 50 50 7 0.0000532127 0.0002155140
50 50 50 7 0.0000580822 0.0001845450
50 50 50 8 0.0000541069 0.0001705090
50 50 50 8 0.0000468967 0.0001415150
50 50 50 8 0.0000608444 0.0002413820
50 50 50 8 0.0000480370 0.0003111830
50 50 50 8 0.0000464137 0.0001578260
100 100 100 3 0.0009109260 0.0013371430
100 100 100 3 0.0007880345 0.0010572400
100 100 100 3 0.0008328990 0.0012107360
100 100 100 3 0.0008575420 0.0012977900
100 100 100 3 0.0008583075 0.0012067390
100 100 100 4 0.0005068473 0.0006698240
100 100 100 4 0.0005252183 0.0007124840
100 100 100 4 0.0009586357 0.0013922270
100 100 100 4 0.0005825627 0.0007825250
100 100 100 4 0.0005285933 0.0007181550
100 100 100 5 0.0003659613 0.0005314650
100 100 100 5 0.0004204598 0.0005964960
100 100 100 5 0.0003677245 0.0005403220
100 100 100 5 0.0004742618 0.0007034370
100 100 100 5 0.0003884912 0.0005644070
100 100 100 6 0.0003352756 0.0004602310
100 100 100 6 0.0003513870 0.0004755810
100 100 100 6 0.0003003670 0.0005000260
100 100 100 6 0.0003345852 0.0005058270
100 100 100 6 0.0004396116 0.0005556910
100 100 100 7 0.0002912885 0.0005694560
100 100 100 7 0.0003393840 0.0005262850
100 100 100 7 0.0003305383 0.0006074970
100 100 100 7 0.0003111518 0.0005464630
100 100 100 7 0.0003305327 0.0005102660
100 100 100 8 0.0002555489 0.0004043870
100 100 100 8 0.0002577950 0.0003886270
100 100 100 8 0.0003307834 0.0006600250
100 100 100 8 0.0002666574 0.0004506230
100 100 100 8 0.0002633067 0.0004037660
250 250 250 3 0.0090179090 0.0104820410
250 250 250 3 0.0088876580 0.0112092270
250 250 250 3 0.0089332525 0.0103819440
250 250 250 3 0.0088476705 0.0102785430
250 250 250 3 0.0082468590 0.0095633430
250 250 250 4 0.0058488040 0.0068162860
250 250 250 4 0.0067423247 0.0077378970
250 250 250 4 0.0064545790 0.0072937650
250 250 250 4 0.0067102327 0.0081013670
250 250 250 4 0.0063212587 0.0078585830
250 250 250 5 0.0050750973 0.0059111660
250 250 250 5 0.0053883345 0.0063214540
250 250 250 5 0.0053153205 0.0063550480
250 250 250 5 0.0050667258 0.0070263140
250 250 250 5 0.0044600208 0.0052586830
250 250 250 6 0.0041929478 0.0049264930
250 250 250 6 0.0049574598 0.0063458910
250 250 250 6 0.0041036576 0.0049680210
250 250 250 6 0.0042452090 0.0052359030
250 250 250 6 0.0040390154 0.0047333110
250 250 250 7 0.0039114880 0.0047810210
250 250 250 7 0.0036422488 0.0042279650
250 250 250 7 0.0034034820 0.0040673650
250 250 250 7 0.0033064438 0.0044723630
250 250 250 7 0.0037494183 0.0044621640
250 250 250 8 0.0031681779 0.0037262460
250 250 250 8 0.0031005850 0.0036629270
250 250 250 8 0.0031636666 0.0036636290
250 250 250 8 0.0030591009 0.0036251970
250 250 250 8 0.0031187929 0.0038538650
500 500 500 3 0.0733448925 0.0796277910
500 500 500 3 0.0725376820 0.0777271830
500 500 500 3 0.0720259900 0.0778092100
500 500 500 3 0.0685423260 0.0743759680
500 500 500 3 0.0729274605 0.0793249080
500 500 500 4 0.0476485197 0.0514109900
500 500 500 4 0.0458645237 0.0495249880
500 500 500 4 0.0501706843 0.0542473790
500 500 500 4 0.0462714003 0.0500458740
500 500 500 4 0.0529000117 0.0570925760
500 500 500 5 0.0383151767 0.0416879070
500 500 500 5 0.0384265485 0.0416498390
500 500 500 5 0.0387983535 0.0423615100
500 500 500 5 0.0416585745 0.0454410830
500 500 500 5 0.0421137922 0.0463684990
500 500 500 6 0.0336523048 0.0365945330
500 500 500 6 0.0302319336 0.0325758280
500 500 500 6 0.0284228140 0.0307239500
500 500 500 6 0.0274280850 0.0298036570
500 500 500 6 0.0290237626 0.0315986780
500 500 500 7 0.0273129290 0.0298712830
500 500 500 7 0.0262466055 0.0294647230
500 500 500 7 0.0280633223 0.0319766060
500 500 500 7 0.0280415240 0.0307056770
500 500 500 7 0.0297199065 0.0331926520
500 500 500 8 0.0220571701 0.0246562550
500 500 500 8 0.0255081553 0.0282621110
